# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1 (25E253)
# Go: go1.26.2
# Swift: release (SwiftUIBridge, prebuilt internal/embeddedbridge/libSwiftUIBridge.dylib)
# go test -run=xxx -bench='BenchmarkMarshalStringSlice|BenchmarkStringListStateSet|BenchmarkMarshalChoiceOptions' -benchmem -count=10 -benchtime=2s .
# Pre-P4 state: JSON-encoded string slices (marshalStringSlice/marshalChoiceOptions) passed as NUL-terminated C strings across FFI.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringListStateSet/1000-16 	    6820	    352171 ns/op	   66976 B/op	       5 allocs/op
BenchmarkStringListStateSet/1000-16 	    6806	    351570 ns/op	   66827 B/op	       5 allocs/op
BenchmarkStringListStateSet/1000-16 	    6742	    355303 ns/op	   66945 B/op	       5 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2639892	       904.4 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2506507	       903.0 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2656863	       902.7 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2643630	       900.3 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2673860	       895.5 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2686062	       899.8 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2676307	       894.4 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2693948	       893.1 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2683198	       897.1 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2641678	       898.9 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  307362	      7924 ns/op	   10789 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  305887	      7917 ns/op	   10788 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  296410	      7935 ns/op	   10789 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  301951	      7922 ns/op	   10788 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  300811	      7925 ns/op	   10790 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  302274	      7887 ns/op	   10788 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  304041	      8267 ns/op	   10788 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  302918	      8154 ns/op	   10790 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  307796	      7849 ns/op	   10787 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  305193	      7883 ns/op	   10787 B/op	       3 allocs/op
PASS
ok  	github.com/tmc/swiftui	223.255s
