# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=^$ -bench='^(BenchmarkTableModelSetRows|BenchmarkTableModelAppend|BenchmarkTableModelApplyDelta|BenchmarkOutlineModelSetRoots)$' -benchmem -count=10 -benchtime=2s .
# Pre-P5 state: TableModel.SetRows rebuilds the full slice on every call.
# ApplyDelta/Append/Insert/Remove are stubs that route through SetRows.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkTableModelApplyDelta/insert-16              	  201770	     14248 ns/op	  109305 B/op	      12 allocs/op
BenchmarkTableModelApplyDelta/insert-16              	  196903	     12037 ns/op	  109304 B/op	      12 allocs/op
BenchmarkTableModelApplyDelta/insert-16              	  207450	     13310 ns/op	  109305 B/op	      12 allocs/op
BenchmarkTableModelApplyDelta/insert-16              	  172114	     15215 ns/op	  109305 B/op	      12 allocs/op
BenchmarkTableModelApplyDelta/insert-16              	  151807	     15799 ns/op	  109305 B/op	      12 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  119728	     19518 ns/op	  144916 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  100012	     21805 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  121358	     18561 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  134058	     18737 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  131322	     19526 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  138526	     19837 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  144978	     17447 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  122048	     21128 ns/op	  144915 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	  122002	     30237 ns/op	  144917 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/remove-16              	   92454	     24533 ns/op	  144916 B/op	      13 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  168156	     14248 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  157611	     14651 ns/op	  109266 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  162015	     23006 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  122707	     17472 ns/op	  109268 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  151156	     18347 ns/op	  109268 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  130429	     16384 ns/op	  109267 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  120537	     18875 ns/op	  109269 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  165963	     14267 ns/op	  109266 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  201152	     14010 ns/op	  109267 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/update-16              	  170762	     13770 ns/op	  109267 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  159466	     17034 ns/op	  109266 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  155662	     16402 ns/op	  109266 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  128397	     16207 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  140440	     16093 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  190689	     12865 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  189603	     12740 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  184738	     13396 ns/op	  109266 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  162837	     12792 ns/op	  109265 B/op	      10 allocs/op
