# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Post-P1 state: withCStringPooled (sync.Pool scratch) + gostringFast (one-pass inbound)
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkWithCString/128-16               	142327416	        15.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	100000000	        30.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	123435248	        17.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	142812856	        16.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	146903764	        16.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	164699173	        14.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	144397095	        15.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	160058024	        15.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	100000000	        20.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	76921100	        29.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        27.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        27.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	96256522	        29.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	77525967	        32.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	73665566	        61.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	64477057	        32.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        33.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	84366924	        36.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	65309602	        51.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkCStringGoString/16-16            	100000000	        42.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	98888194	        39.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	65105587	        39.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	41833102	        60.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	62617989	        34.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	81967912	        29.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	100000000	        46.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	77343051	        31.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	73485228	        29.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	100000000	        26.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	22096513	       126.5 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	35091801	       139.0 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	14810284	       176.4 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	19758757	       131.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	22694739	       122.3 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	18306636	       117.9 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	15969962	       135.4 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	17839958	       178.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	20724294	       124.9 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	19927071	       124.3 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 3286161	       761.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 3566083	       859.4 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 3011229	       778.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 3372136	       833.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 2467188	      1192 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 2603620	       776.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 3611342	       628.5 ns/op	    1024 B/op	       1 allocs/op
