# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1 (25E253)
# Go: go1.26.2
# Swift: release (SwiftUIBridge, rebuilt with packed-wire entry points)
# go test -run=xxx -bench='BenchmarkMarshalStringSlice|BenchmarkStringListStateSet|BenchmarkMarshalChoiceOptions' -benchmem -count=10 -benchtime=2s .
# Post-P4 state: StringListState.{Set,New} use acquirePackedStringSliceBuf/releasePackedBuf to hand pointer+length directly to Swift (no escaping closure). Searchable pickers use withPackedChoiceOptions. MarshalStringSlice/MarshalChoiceOptions benches exercise the renamed marshalStringSliceJSON/marshalChoiceOptionsJSON (kept for debug/persistence).
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringListStateSet/1000-16 	   37131	     64268 ns/op	     100 B/op	       3 allocs/op
BenchmarkStringListStateSet/1000-16 	   37398	     64084 ns/op	     100 B/op	       3 allocs/op
BenchmarkStringListStateSet/1000-16 	   37372	     64229 ns/op	     100 B/op	       3 allocs/op
BenchmarkStringListStateSet/1000-16 	   37267	     63709 ns/op	     100 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2666953	       902.9 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2666739	       912.7 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2656914	       928.9 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2646903	       905.5 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2679519	       929.2 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2544339	       909.4 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2359593	      1081 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2652128	       917.6 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2606523	       910.9 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/10-16 	 2647759	       908.2 ns/op	    1176 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  301140	      8039 ns/op	   10789 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  295191	      8066 ns/op	   10789 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  295390	      8013 ns/op	   10787 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  303123	      8040 ns/op	   10789 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  295032	      8513 ns/op	   10790 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  297726	      8022 ns/op	   10790 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  298401	      8040 ns/op	   10789 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  299326	      8107 ns/op	   10790 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  296839	      8055 ns/op	   10790 B/op	       3 allocs/op
BenchmarkMarshalChoiceOptions/100-16         	  299414	      8072 ns/op	   10790 B/op	       3 allocs/op
PASS
ok  	github.com/tmc/swiftui	246.513s
