# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# a2ui tip: 414e025ed93df3ef320367f6d41ad20ede418078
# Date: 2026-04-16T23:34:13Z
# Command: GOWORK=off go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .

goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkWithCString/128-16               	247829245	         9.779 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	240662071	         9.722 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	244435557	        10.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	240834018	         9.837 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	232761006	        10.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	230848288	         9.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	246347629	        10.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	247093868	         9.685 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	240323274	        11.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/128-16               	182880980	        13.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	84049675	        25.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	98570724	        22.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        21.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        20.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	124117860	        21.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        22.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        21.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        20.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkWithCString/1024-16              	100000000	        22.15 ns/op	       0 B/op	       0 allocs/op
