# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Pre-P1 state: unpooled withCString + append-growth cString/cStringToGoString
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkWithCString/128-16               	17323270	       162.9 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	12737014	       176.0 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	12085742	       209.2 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	17278845	       136.7 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	17436891	       142.7 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	17188400	       136.2 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	16733979	       176.9 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	10106401	       235.7 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	 9703443	       234.3 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 3491664	       836.6 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2107918	       992.9 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 3050211	       891.3 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 3321356	       914.3 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2381494	       941.3 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2266858	       923.8 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2673801	      1106 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2189892	       949.7 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2231304	       990.0 ns/op	    2560 B/op	       2 allocs/op
BenchmarkWithCString/1024-16              	 2200952	       982.8 ns/op	    2560 B/op	       2 allocs/op
